Expression	Value	Location	Type	
halt	'\0' (0x00)	0x200014F6	uint8_t	
resultNdmParam	<array>".b...цсгнлй§яеq"	0x2000148C	uint8_t[15]	
rxNdmCadr	<array>	0x2000070C	uint16_t[1216]	
[327]	34145	0x2000099A	uint16_t	
[328]	34900	0x2000099C	uint16_t	
[329]	32849	0x2000099E	uint16_t	
[330]	27462	0x200009A0	uint16_t	
[331]	21462	0x200009A2	uint16_t	
[332]	19153	0x200009A4	uint16_t	
[333]	23210	0x200009A6	uint16_t	
[334]	30072	0x200009A8	uint16_t	
[335]	33645	0x200009AA	uint16_t	
[336]	34649	0x200009AC	uint16_t	
[337]	34186	0x200009AE	uint16_t	
[338]	33294	0x200009B0	uint16_t	
[339]	32348	0x200009B2	uint16_t	
[340]	31543	0x200009B4	uint16_t	
[341]	28722	0x200009B6	uint16_t	
[342]	22663	0x200009B8	uint16_t	
[343]	17305	0x200009BA	uint16_t	
[344]	15800	0x200009BC	uint16_t	
[345]	20111	0x200009BE	uint16_t	
[346]	27768	0x200009C0	uint16_t	
[347]	32089	0x200009C2	uint16_t	
[348]	33335	0x200009C4	uint16_t	
[349]	31208	0x200009C6	uint16_t	
[350]	25018	0x200009C8	uint16_t	
[351]	18665	0x200009CA	uint16_t	
[352]	16546	0x200009CC	uint16_t	
[353]	20711	0x200009CE	uint16_t	
[354]	28372	0x200009D0	uint16_t	
[355]	32695	0x200009D2	uint16_t	
[356]	34005	0x200009D4	uint16_t	
[357]	32086	0x200009D6	uint16_t	
[358]	26444	0x200009D8	uint16_t	
[359]	20045	0x200009DA	uint16_t	
[360]	17507	0x200009DC	uint16_t	
[361]	21225	0x200009DE	uint16_t	
[362]	28703	0x200009E0	uint16_t	
[363]	32998	0x200009E2	uint16_t	
[364]	34226	0x200009E4	uint16_t	
[365]	32491	0x200009E6	uint16_t	
[366]	27024	0x200009E8	uint16_t	
[367]	20651	0x200009EA	uint16_t	
[368]	17913	0x200009EC	uint16_t	
[369]	21388	0x200009EE	uint16_t	
[370]	28743	0x200009F0	uint16_t	
[371]	33091	0x200009F2	uint16_t	
[372]	34413	0x200009F4	uint16_t	
[373]	32825	0x200009F6	uint16_t	
[374]	27552	0x200009F8	uint16_t	
[375]	21121	0x200009FA	uint16_t	
[376]	18265	0x200009FC	uint16_t	
[377]	21500	0x200009FE	uint16_t	
[378]	28806	0x20000A00	uint16_t	
[379]	33070	0x20000A02	uint16_t	
[380]	34377	0x20000A04	uint16_t	
[381]	32839	0x20000A06	uint16_t	
[382]	27445	0x20000A08	uint16_t	
[383]	20714	0x20000A0A	uint16_t	
[384]	17614	0x20000A0C	uint16_t	
[385]	20641	0x20000A0E	uint16_t	
[386]	28115	0x20000A10	uint16_t	
[387]	32725	0x20000A12	uint16_t	
[388]	34114	0x20000A14	uint16_t	
[389]	32691	0x20000A16	uint16_t	
[390]	27463	0x20000A18	uint16_t	
[391]	20942	0x20000A1A	uint16_t	
[392]	17893	0x20000A1C	uint16_t	
[393]	20782	0x20000A1E	uint16_t	
[394]	28312	0x20000A20	uint16_t	
[395]	32887	0x20000A22	uint16_t	
[396]	34449	0x20000A24	uint16_t	
[397]	33178	0x20000A26	uint16_t	
[398]	28185	0x20000A28	uint16_t	
[399]	21622	0x20000A2A	uint16_t	
[400]	18208	0x20000A2C	uint16_t	
[401]	18420	0x20000A2E	uint16_t	
[402]	20263	0x20000A30	uint16_t	
[403]	22259	0x20000A32	uint16_t	
[404]	23908	0x20000A34	uint16_t	
[405]	26871	0x20000A36	uint16_t	
[406]	31423	0x20000A38	uint16_t	
[407]	34141	0x20000A3A	uint16_t	
[408]	35022	0x20000A3C	uint16_t	
[409]	34744	0x20000A3E	uint16_t	
[410]	33917	0x20000A40	uint16_t	
[411]	33098	0x20000A42	uint16_t	
[412]	32415	0x20000A44	uint16_t	
[413]	30440	0x20000A46	uint16_t	
[414]	25177	0x20000A48	uint16_t	
[415]	19307	0x20000A4A	uint16_t	
[416]	16869	0x20000A4C	uint16_t	
[417]	19575	0x20000A4E	uint16_t	
[418]	27031	0x20000A50	uint16_t	
[419]	32095	0x20000A52	uint16_t	
[420]	33836	0x20000A54	uint16_t	
[421]	32535	0x20000A56	uint16_t	
[422]	27361	0x20000A58	uint16_t	
[423]	20762	0x20000A5A	uint16_t	
[424]	17533	0x20000A5C	uint16_t	
[425]	19785	0x20000A5E	uint16_t	
[426]	27150	0x20000A60	uint16_t	
[427]	32255	0x20000A62	uint16_t	
[428]	34036	0x20000A64	uint16_t	
[429]	32919	0x20000A66	uint16_t	
[430]	27942	0x20000A68	uint16_t	
[431]	21291	0x20000A6A	uint16_t	
[432]	17656	0x20000A6C	uint16_t	
[433]	19706	0x20000A6E	uint16_t	
[434]	26981	0x20000A70	uint16_t	
[435]	32265	0x20000A72	uint16_t	
[436]	34119	0x20000A74	uint16_t	
[437]	33304	0x20000A76	uint16_t	
[438]	28677	0x20000A78	uint16_t	
[439]	21948	0x20000A7A	uint16_t	
[440]	18034	0x20000A7C	uint16_t	
[441]	19686	0x20000A7E	uint16_t	
[442]	26958	0x20000A80	uint16_t	
[443]	32295	0x20000A82	uint16_t	
[444]	34222	0x20000A84	uint16_t	
[445]	33452	0x20000A86	uint16_t	
[446]	29000	0x20000A88	uint16_t	
[447]	22298	0x20000A8A	uint16_t	
[448]	18303	0x20000A8C	uint16_t	
[449]	18283	0x20000A8E	uint16_t	
[450]	20135	0x20000A90	uint16_t	
[451]	22059	0x20000A92	uint16_t	
[452]	23405	0x20000A94	uint16_t	
[453]	25715	0x20000A96	uint16_t	
[454]	30621	0x20000A98	uint16_t	
[455]	34026	0x20000A9A	uint16_t	
[456]	35256	0x20000A9C	uint16_t	
[457]	35145	0x20000A9E	uint16_t	
[458]	34368	0x20000AA0	uint16_t	
[459]	33519	0x20000AA2	uint16_t	
[460]	32907	0x20000AA4	uint16_t	
[461]	32150	0x20000AA6	uint16_t	
[462]	29168	0x20000AA8	uint16_t	
[463]	24360	0x20000AAA	uint16_t	
[464]	20093	0x20000AAC	uint16_t	
[465]	17781	0x20000AAE	uint16_t	
[466]	17073	0x20000AB0	uint16_t	
[467]	17414	0x20000AB2	uint16_t	
[468]	18409	0x20000AB4	uint16_t	
[469]	21108	0x20000AB6	uint16_t	
[470]	27426	0x20000AB8	uint16_t	
[471]	32127	0x20000ABA	uint16_t	
[472]	33865	0x20000ABC	uint16_t	
[473]	34123	0x20000ABE	uint16_t	
[474]	33532	0x20000AC0	uint16_t	
[475]	32861	0x20000AC2	uint16_t	
[476]	32517	0x20000AC4	uint16_t	
[477]	31526	0x20000AC6	uint16_t	
[478]	27167	0x20000AC8	uint16_t	
[479]	20924	0x20000ACA	uint16_t	
[480]	17300	0x20000ACC	uint16_t	
[481]	18525	0x20000ACE	uint16_t	
[482]	25541	0x20000AD0	uint16_t	
[483]	31362	0x20000AD2	uint16_t	
[484]	33697	0x20000AD4	uint16_t	
[485]	33288	0x20000AD6	uint16_t	
[486]	29042	0x20000AD8	uint16_t	
[487]	22215	0x20000ADA	uint16_t	
[488]	17798	0x20000ADC	uint16_t	
[489]	18650	0x20000ADE	uint16_t	
[490]	25655	0x20000AE0	uint16_t	
[491]	31574	0x20000AE2	uint16_t	
[492]	33849	0x20000AE4	uint16_t	
[493]	33512	0x20000AE6	uint16_t	
[494]	29375	0x20000AE8	uint16_t	
[495]	22585	0x20000AEA	uint16_t	
[496]	18055	0x20000AEC	uint16_t	
[497]	18730	0x20000AEE	uint16_t	
[498]	25484	0x20000AF0	uint16_t	
[499]	31433	0x20000AF2	uint16_t	
[500]	33865	0x20000AF4	uint16_t	
[501]	33688	0x20000AF6	uint16_t	
[502]	29805	0x20000AF8	uint16_t	
[503]	23108	0x20000AFA	uint16_t	
[504]	18374	0x20000AFC	uint16_t	
[505]	18748	0x20000AFE	uint16_t	
[506]	25382	0x20000B00	uint16_t	
[507]	31489	0x20000B02	uint16_t	
[508]	33865	0x20000B04	uint16_t	
[509]	33808	0x20000B06	uint16_t	
[510]	30017	0x20000B08	uint16_t	
[511]	23422	0x20000B0A	uint16_t	
[512]	18638	0x20000B0C	uint16_t	
[513]	18862	0x20000B0E	uint16_t	
[514]	25399	0x20000B10	uint16_t	
[515]	31522	0x20000B12	uint16_t	
[516]	34080	0x20000B14	uint16_t	
[517]	34146	0x20000B16	uint16_t	
[518]	30534	0x20000B18	uint16_t	
[519]	23907	0x20000B1A	uint16_t	
[520]	18854	0x20000B1C	uint16_t	
[521]	17913	0x20000B1E	uint16_t	
[522]	19313	0x20000B20	uint16_t	
[523]	21299	0x20000B22	uint16_t	
[524]	22952	0x20000B24	uint16_t	
[525]	25065	0x20000B26	uint16_t	
[526]	29580	0x20000B28	uint16_t	
[527]	33331	0x20000B2A	uint16_t	
[528]	34936	0x20000B2C	uint16_t	
[529]	34758	0x20000B2E	uint16_t	
[530]	31476	0x20000B30	uint16_t	
[531]	25379	0x20000B32	uint16_t	
[532]	20440	0x20000B34	uint16_t	
[533]	20057	0x20000B36	uint16_t	
[534]	26044	0x20000B38	uint16_t	
[535]	31916	0x20000B3A	uint16_t	
[536]	34474	0x20000B3C	uint16_t	
[537]	34865	0x20000B3E	uint16_t	
[538]	34137	0x20000B40	uint16_t	
[539]	33173	0x20000B42	uint16_t	
[540]	32251	0x20000B44	uint16_t	
[541]	30805	0x20000B46	uint16_t	
[542]	26528	0x20000B48	uint16_t	
[543]	20447	0x20000B4A	uint16_t	
[544]	16808	0x20000B4C	uint16_t	
[545]	17213	0x20000B4E	uint16_t	
[546]	23378	0x20000B50	uint16_t	
[547]	30126	0x20000B52	uint16_t	
[548]	33179	0x20000B54	uint16_t	
[549]	33467	0x20000B56	uint16_t	
[550]	30008	0x20000B58	uint16_t	
[551]	23387	0x20000B5A	uint16_t	
[552]	18211	0x20000B5C	uint16_t	
[553]	17765	0x20000B5E	uint16_t	
[554]	23763	0x20000B60	uint16_t	
[555]	30514	0x20000B62	uint16_t	
[556]	33563	0x20000B64	uint16_t	
[557]	33865	0x20000B66	uint16_t	
[558]	30680	0x20000B68	uint16_t	
[559]	24176	0x20000B6A	uint16_t	
[560]	18705	0x20000B6C	uint16_t	
[561]	17925	0x20000B6E	uint16_t	
[562]	23676	0x20000B70	uint16_t	
[563]	30498	0x20000B72	uint16_t	
[564]	33609	0x20000B74	uint16_t	
[565]	33865	0x20000B76	uint16_t	
[566]	30795	0x20000B78	uint16_t	
[567]	24260	0x20000B7A	uint16_t	
[568]	18812	0x20000B7C	uint16_t	
[569]	17863	0x20000B7E	uint16_t	
[570]	23406	0x20000B80	uint16_t	
